Report_ID,Company,Mine_Site,Report_Date,Shift_Covered,HPI_Reported,Number_of_HPIs,Dominant_Incident_Type,Max_Severity_Level,Primary_Location,Dominant_Causal_Factor,Dominant_Root_Cause,Daily_Production_tons,Major_Equipment_Involved,Equipment_Availability_pct,Geological_Condition,Seismic_Activity,Weather,Dominant_Task,Worker_Category_Most_Affected,Workforce_Size,Overtime_Hours,Year,Environmental_Risk_Score,Task_Complexity_Score,Month,Day_of_Week,Is_Weekend,Quarter,Severity_Score,Days_Since_Last_Incident,Weather_Risk_Score,Equipment_Age_Risk,Worker_Training_Level,Training_Risk_Score,Shift_Risk_Score,Composite_Risk_Score,Location_Incident_Count,Days_Since_Last_Same_Location,Season,Equipment_Risk_Score,Task_Shift_Risk,Previous_Incident_Exposure,Weather_Task_Risk,Composite_Safety_Index,Risk_Category
IN-24-02-2025-010,Gold Fields,Damang,2/24/2025,Day,Yes,1,Fall of Ground,Critical Potential,Mining Area,Unsafe Driving,Environmental Condition,17943,Excavator,80.6,Moderate Fracturing,Moderate,Fog,Lifting,Mechanic,1096,31,2025,1,3,2,0,0,1,3,0.73237256,2,3,Basic,4,2,2.35,179,13,Dry Season,4,3,1,1,69.04335133,High Risk
IN-20-03-2025-010,AngloGold Ashanti,Damang,3/20/2025,Night,No,0,Fire,Low,Mining Area,Unsafe Driving,Human Behaviour,35025,Excavator,79,Moderate Fracturing,Moderate,Clear,Welding,Driver,1114,20,2025,3,5,3,3,0,1,0,0.957337565,1,5,Advanced,2,4,2.1,179,24,Minor Rainy Season,4,4,1,1,55.40622549,High Risk
IN-25-03-2025-010,Gold Fields,Obuasi,3/25/2025,Day,No,0,Vehicle,High Potential,Mining Area,Lack of Risk Assessment,Human Behaviour,26009,Crusher,66,Moderate Fracturing,Moderate,Clear,Lifting,Operator,491,17,2025,2,3,3,1,0,1,2,2.275538476,1,3,Basic,4,2,2.15,179,5,Minor Rainy Season,2,3,1,1,38.53681038,Medium Risk
IN-15-04-2025-010,Gold Fields,Damang,4/15/2025,Day,Yes,1,Chemical,High Potential,Mining Area,Lack of Risk Assessment,Equipment Failure,26587,Truck,79,Stable,Moderate,Rain,Maintenance,Supervisor,599,23,2025,4,4,4,1,0,2,2,4.460882466,4,2,Intermediate,3,2,3.05,179,21,Minor Rainy Season,2,3,1,1,53.40209716,High Risk
IN-23-04-2025-010,Newmont,Obuasi,4/23/2025,Night,Yes,1,Vehicle,Critical Potential,Mining Area,Lack of Risk Assessment,Environmental Condition,32990,Loader,86.6,Stable,Moderate,Extreme Heat,Maintenance,Welder,552,22,2025,2,4,4,2,0,2,3,4.29327521,4,3,Intermediate,3,4,3.1,179,8,Minor Rainy Season,2,4,1,3,88.05849316,Critical Risk
IN-01-05-2025-010,Gold Fields,Ahafo,5/1/2025,Day,No,0,Fire,Low,Mining Area,Lack of Risk Assessment,Equipment Failure,29343,Loader,67.1,Stable,Low,Clear,Lifting,Operator,901,23,2025,3,3,5,3,0,2,0,9.490088876,1,3,Basic,4,2,1.7,179,8,Minor Rainy Season,2,3,1,1,14.57655113,Low Risk
IN-11-05-2025-010,Newmont,Tarkwa,5/11/2025,Night,No,0,Electrical,Medium,Mining Area,Design / Layout Deficiency,Equipment Failure,12837,,70.2,Stable,Low,Extreme Heat,Welding,Operator,284,15,2025,1,5,5,6,1,2,1,4.341147143,4,4,Intermediate,3,4,2.3,179,10,Minor Rainy Season,2,4,1,3,70.31013507,Critical Risk
IN-19-05-2025-010,AngloGold Ashanti,Obuasi,5/19/2025,Day,No,0,Fire,Medium,Mining Area,Design / Layout Deficiency,Equipment Failure,8048,,94.1,Moderate Fracturing,Moderate,Clear,Welding,Driver,586,19,2025,3,5,5,0,0,2,1,1.350473792,1,5,Intermediate,3,2,2.3,179,8,Minor Rainy Season,2,3,1,1,38.98048306,Medium Risk
IN-06-06-2025-010,Newmont,Damang,6/6/2025,Day,Yes,1,Fall of Ground,Critical Potential,Mining Area,Poor Maintenance,Procedural Failure,26242,Excavator,66.9,Highly Fractured,Low,Fog,Welding,Driver,268,26,2025,1,5,6,4,0,2,3,0.970239728,2,2,Intermediate,3,2,2.6,179,18,Major Rainy Season,4,3,1,1,81.46715363,Critical Risk
IN-21-06-2025-010,AngloGold Ashanti,Tarkwa,6/21/2025,Day,No,0,Fall of Ground,Critical Potential,Mining Area,Human Error,Environmental Condition,23744,,80,Highly Fractured,Moderate,Fog,Driving,Supervisor,934,13,2025,1,2,6,5,1,2,3,2.551223002,2,2,Intermediate,3,2,2.15,179,15,Major Rainy Season,2,1,1,1,38.82485075,Medium Risk
IN-15-07-2025-010,Newmont,Obuasi,7/15/2025,Day,Yes,1,Fall of Ground,Low,Mining Area,Unsafe Driving,Training Deficiency,37264,Loader,96.5,Highly Fractured,Low,Rain,Maintenance,Welder,941,3,2025,1,4,7,1,0,3,0,1.615454179,4,5,Intermediate,3,2,1.6,179,24,Major Rainy Season,2,3,1,1,29.44183791,Low Risk
IN-10-08-2025-010,Gold Fields,Tarkwa,8/10/2025,Night,No,0,Chemical,High Potential,Mining Area,Poor Maintenance,Procedural Failure,25270,Loader,93.1,Highly Fractured,Low,Rain,Welding,Supervisor,1133,2,2025,4,5,8,6,1,3,2,6.883626444,4,3,Intermediate,3,4,3.4,179,26,Major Rainy Season,2,4,1,1,72.37792093,Critical Risk
IN-18-08-2025-010,Gold Fields,Damang,8/18/2025,Night,No,0,Fire,Critical Potential,Mining Area,Environmental Conditions,Training Deficiency,17417,,86.6,Moderate Fracturing,Moderate,Clear,Equipment Operation,Mechanic,820,16,2025,3,4,8,0,0,3,3,1.578929955,1,4,Intermediate,3,4,3.05,179,8,Major Rainy Season,2,4,1,1,69.49276377,High Risk
IN-21-08-2025-010,AngloGold Ashanti,Damang,8/21/2025,Night,Yes,1,Fall of Ground,Medium,Mining Area,Design / Layout Deficiency,Procedural Failure,23839,Excavator,74.2,Highly Fractured,Low,Clear,Lifting,Supervisor,1065,1,2025,1,3,8,3,0,3,1,0.236619837,1,5,Basic,4,4,1.75,179,3,Major Rainy Season,4,4,1,1,54.96255281,High Risk
IN-24-08-2025-010,AngloGold Ashanti,Damang,8/24/2025,Night,Yes,1,Fall of Ground,Critical Potential,Mining Area,Design / Layout Deficiency,Equipment Failure,37795,,73.9,Stable,Moderate,High Dust,Maintenance,Welder,708,25,2025,1,4,8,6,1,3,3,5.147642108,,2,Intermediate,3,4,,179,3,Major Rainy Season,2,4,1,3,76.52064565,Critical Risk
IN-27-08-2025-010,Gold Fields,Damang,8/27/2025,Day,Yes,1,Chemical,Medium,Mining Area,Environmental Conditions,Procedural Failure,34424,Excavator,66.5,Stable,Low,Clear,Maintenance,Mechanic,433,0,2025,4,4,8,2,0,3,1,15.95438116,1,2,Intermediate,3,2,2.4,179,3,Major Rainy Season,4,3,1,1,48.41053135,Medium Risk
IN-02-09-2025-010,AngloGold Ashanti,Tarkwa,9/2/2025,Day,No,0,Fire,Medium,Mining Area,Human Error,Human Behaviour,40674,Excavator,93.2,Stable,Low,Rain,Lifting,Supervisor,846,39,2025,3,3,9,1,0,3,1,2.136306382,4,3,Basic,4,2,2.35,179,6,Transition Season,4,3,1,1,50.85201583,High Risk
IN-21-09-2025-010,AngloGold Ashanti,Tarkwa,9/21/2025,Night,Yes,1,Fire,Critical Potential,Mining Area,Unsafe Driving,Equipment Failure,22219,Excavator,93.7,Stable,Moderate,Clear,Maintenance,Driver,849,4,2025,3,4,9,6,1,3,3,1.689875946,1,2,Intermediate,3,4,3.05,179,19,Transition Season,4,4,1,1,85.13471322,Critical Risk
IN-22-09-2025-010,AngloGold Ashanti,Obuasi,9/22/2025,Day,Yes,1,Electrical,Medium,Mining Area,Lack of Risk Assessment,Procedural Failure,15961,Loader,71.8,Stable,Moderate,Clear,Welding,Operator,533,14,2025,1,5,9,0,0,3,1,0.62633621,1,2,Intermediate,3,2,1.8,179,1,Transition Season,2,3,1,1,38.98048306,Medium Risk
IN-02-10-2025-010,Gold Fields,Ahafo,10/2/2025,Night,No,0,Chemical,Medium,Mining Area,Lack of Risk Assessment,Procedural Failure,31913,Truck,70.6,Highly Fractured,Low,High Dust,Equipment Operation,Welder,997,23,2025,4,4,10,3,0,4,1,2.698733142,,5,Intermediate,3,4,,179,10,Transition Season,2,4,1,3,52.5603864,High Risk
IN-07-10-2025-010,Gold Fields,Tarkwa,10/7/2025,Day,No,0,Electrical,High Potential,Mining Area,Poor Maintenance,Training Deficiency,36177,Excavator,82.8,Moderate Fracturing,Low,High Dust,Welding,Driver,970,22,2025,1,5,10,1,0,4,2,0.718940026,,3,Advanced,2,2,,179,5,Transition Season,4,3,1,3,73.63044401,Critical Risk
IN-11-10-2025-010,Newmont,Ahafo,10/11/2025,Night,Yes,1,Electrical,Medium,Mining Area,Unsafe Driving,Equipment Failure,38061,Truck,71.5,Stable,High,Clear,Driving,Supervisor,486,40,2025,1,2,10,5,1,4,1,8.813266679,1,2,Intermediate,3,4,1.55,179,4,Transition Season,2,2,1,1,24.74405224,Low Risk
IN-15-10-2025-010,Newmont,Tarkwa,10/15/2025,Day,Yes,1,Electrical,Low,Mining Area,Poor Maintenance,Procedural Failure,21119,Loader,81.2,Stable,Low,Clear,Lifting,Supervisor,724,0,2025,1,3,10,2,0,4,0,0.461509791,1,4,Basic,4,2,1.2,179,4,Transition Season,2,3,1,1,14.57655113,Low Risk
IN-16-10-2025-010,AngloGold Ashanti,Tarkwa,10/16/2025,Day,No,0,Equipment,Medium,Mining Area,Poor Maintenance,Human Behaviour,13444,Crusher,92.3,Stable,Low,Clear,Driving,Driver,322,1,2025,1,2,10,3,0,4,1,4.484097607,1,4,Intermediate,3,2,1.35,179,1,Transition Season,2,1,1,1,11.98012963,Low Risk
IN-17-10-2025-010,AngloGold Ashanti,Damang,10/17/2025,Night,Yes,1,Chemical,Medium,Mining Area,Human Error,Equipment Failure,38149,Truck,76.2,Stable,Low,High Dust,Welding,Welder,424,14,2025,4,5,10,4,0,4,1,18.31314357,,5,Intermediate,3,4,,179,1,Transition Season,2,4,1,3,58.77228756,High Risk
IN-18-10-2025-010,AngloGold Ashanti,Obuasi,10/18/2025,Day,No,0,Electrical,Medium,Mining Area,Unsafe Driving,Procedural Failure,20493,Loader,66.8,Highly Fractured,Moderate,Clear,Equipment Operation,Welder,1132,38,2025,1,4,10,5,1,4,1,0.796391733,1,2,Basic,4,2,1.7,179,1,Transition Season,2,3,1,1,32.7685819,Medium Risk
IN-03-11-2025-010,AngloGold Ashanti,Ahafo,11/3/2025,Day,Yes,1,Equipment,Medium,Mining Area,Inadequate Supervision,Procedural Failure,26248,Truck,74.5,Highly Fractured,Low,Clear,Driving,Driver,1137,2,2025,1,2,11,0,0,4,1,1.129676893,1,5,Basic,4,2,1.4,179,16,Transition Season,2,1,1,1,11.98012963,Low Risk
IN-06-11-2025-010,Newmont,Obuasi,11/6/2025,Day,No,0,Vehicle,Medium,Mining Area,Human Error,Training Deficiency,23021,,70.8,Highly Fractured,Low,Rain,Welding,Operator,478,44,2025,2,5,11,3,0,4,1,8.809354291,4,3,Intermediate,3,2,2.35,179,3,Transition Season,2,3,1,1,47.63386869,Medium Risk
IN-09-11-2025-010,Newmont,Damang,11/9/2025,Night,Yes,1,Fire,Critical Potential,Mining Area,Design / Layout Deficiency,Environmental Condition,20034,Excavator,66.1,Highly Fractured,Low,Fog,Lifting,Driver,280,17,2025,3,3,11,6,1,4,3,4.734484885,2,2,Basic,4,4,3.05,179,3,Transition Season,4,4,1,1,81.80727394,Critical Risk
IN-22-11-2025-010,AngloGold Ashanti,Ahafo,11/22/2025,Day,Yes,1,Vehicle,Low,Mining Area,Design / Layout Deficiency,Environmental Condition,32725,Loader,73.3,Moderate Fracturing,Low,High Dust,Maintenance,Driver,714,30,2025,2,4,11,5,1,4,0,1.253998244,,4,Advanced,2,2,,179,13,Transition Season,2,3,1,3,27.81633416,Low Risk
IN-14-12-2025-010,Gold Fields,Ahafo,12/14/2025,Day,Yes,1,Vehicle,High Potential,Mining Area,Design / Layout Deficiency,Environmental Condition,16830,Excavator,96.2,Stable,Moderate,Rain,Maintenance,Operator,363,0,2025,2,4,12,6,1,4,2,6.129059083,4,2,Intermediate,3,2,2.55,179,22,Dry Season,4,3,1,1,69.04404661,High Risk
IN-17-12-2025-010,AngloGold Ashanti,Ahafo,12/17/2025,Day,Yes,1,Vehicle,Medium,Mining Area,Environmental Conditions,Human Behaviour,30437,Crusher,94.3,Moderate Fracturing,Low,Clear,Driving,Mechanic,1005,3,2025,2,2,12,2,0,4,1,3.267331143,1,3,Intermediate,3,2,1.6,179,3,Dry Season,2,1,1,1,11.98012963,Low Risk
IN-23-12-2025-010,Gold Fields,Obuasi,12/23/2025,Day,Yes,1,Equipment,Low,Mining Area,Lack of Risk Assessment,Environmental Condition,41258,Crusher,74.8,Stable,Low,Clear,Maintenance,Operator,747,29,2025,1,4,12,1,0,4,0,6.20985557,1,3,Intermediate,3,2,1.3,179,6,Dry Season,2,3,1,1,20.78845228,Low Risk
IN-26-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/26/2020,Night,Yes,1,Vehicle Incident,Low,Office,Poor Maintenance / Equipment Failure,Human Error,5098.015164,Vehicle,90.14715668,Moderate,Low,Clear,Unknown,Security,351,39.10581934,2020,2,3,6,4,0,2,0,1.159876357,1,2,Basic,4,4,1.65,3,999,Major Rainy Season,3,2,0,1,26.79679849,Low Risk
IN-28-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/28/2020,Day,Yes,1,Equipment Damage,Critical Potential,Office,Electrical Fault,Human Error,5614.395046,Fire / Explosion Source,79.36069841,Moderate,Low,Clear,Unknown,Unknown,385,32.44221437,2020,1,3,6,6,1,2,3,0.470691479,1,5,Intermediate,3,2,2.2,3,2,Major Rainy Season,2,1,1,1,42.15229003,Medium Risk
IN-04-08-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,8/4/2020,Day,Yes,1,Vehicle Incident,High Potential,Office,Human Error / Fatigue,Inadequate Training,5493.662931,Vehicle,77.20260734,Moderate,Low,Clear,Driving,Unknown,462,9.531315314,2020,2,2,8,1,0,3,2,3.51433017,1,3,Basic,4,2,2,3,37,Major Rainy Season,3,1,1,1,31.78123397,Medium Risk
IN-05-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/5/2020,Night,Yes,1,Personal Injury,High Potential,Other,Human Error / Fatigue,System Failure,5739.099911,,76.41149266,Moderate,Low,Clear,Unknown,Unknown,497,50,2020,1,3,6,4,0,2,2,4.6156201,1,4,Basic,4,4,2.1,29,999,Major Rainy Season,2,2,1,1,42.93608302,Medium Risk
IN-07-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/7/2020,Day,Yes,1,Vehicle Incident,Critical Potential,Other,Electrical Fault,System Failure,5633.372718,Heavy Equipment,78.0483654,Moderate,Low,Clear,Unknown,Unknown,433,15.96084953,2020,2,3,6,6,1,2,3,10.92421852,1,2,Basic,4,2,2.5,29,2,Major Rainy Season,4,1,1,1,57.79423947,High Risk
IN-10-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/10/2020,Day,Yes,1,Equipment Damage,Low,Other,Human Error / Fatigue,Communication Breakdown,5852.492629,,92.03122925,Moderate,Low,Clear,Equipment Operation,Equipment Operator,367,10.84906838,2020,1,4,6,2,0,2,0,1.25228831,1,3,Intermediate,3,2,1.3,29,3,Major Rainy Season,2,3,0,1,20.78845228,Low Risk
IN-12-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/12/2020,Day,Yes,1,Fire,Critical Potential,Other,Poor Maintenance / Equipment Failure,Human Error,4811.035127,Heavy Equipment,95.12936093,Moderate,Low,Clear,Unknown,Unknown,353,48.09760297,2020,3,3,6,4,0,2,3,14.20074401,1,3,Intermediate,3,2,2.7,29,2,Major Rainy Season,4,1,1,1,57.79423947,High Risk
IN-12-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/12/2020,Day,Yes,1,Fire,Critical Potential,Other,Human Error / Fatigue,System Failure,4747.518106,Fire / Explosion Source,80.75688179,Moderate,Low,Extreme Heat,Grinding / Cutting,Unknown,438,9.575249362,2020,3,4,6,4,0,2,3,9.947874752,4,3,Basic,4,2,,29,0,Major Rainy Season,2,1,1,3,66.92992057,High Risk
IN-13-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/13/2020,Night,Yes,1,Environmental,Critical Potential,Other,Poor Ground / Weather Conditions,Human Error,2882.343946,Pump / Mechanical Equipment,87.56328501,Moderate,Low,Rain,Unknown,Unknown,360,8.845675375,2020,4,3,6,5,1,2,3,1.73327276,4,3,Intermediate,3,4,3.45,29,1,Major Rainy Season,2,2,1,1,63.56959828,High Risk
IN-20-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/20/2020,Unknown,Yes,1,Environmental,High Potential,Other,Human Error / Fatigue,System Failure,3846.096257,Pump / Mechanical Equipment,88.18807683,Moderate,Low,Clear,Unknown,Unknown,438,28.08409258,2020,4,3,6,5,1,2,2,0.361081467,1,2,Basic,4,3,2.75,29,7,Major Rainy Season,2,1,1,1,34.46295922,Medium Risk
IN-20-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/20/2020,Unknown,Yes,1,Environmental,Critical Potential,Other,Chemical / Fire Hazard,System Failure,4774.932206,,73.98075157,Moderate,Low,Clear,Unknown,Security,377,50,2020,4,3,6,5,1,2,3,4.026562295,1,3,Basic,4,3,3.1,29,0,Major Rainy Season,2,1,1,1,46.44308884,Medium Risk
IN-21-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/21/2020,Day,Yes,1,Personal Injury,Medium,Other,Design / Layout Deficiency,Human Error,7640.021006,Pump / Mechanical Equipment,91.85099612,Moderate,Low,Clear,Unknown,Unknown,404,25.07720793,2020,1,3,6,6,1,2,1,0.001438998,1,4,Basic,4,2,1.55,29,1,Major Rainy Season,2,1,1,1,18.19203078,Low Risk
IN-23-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/23/2020,Night,Yes,1,Fire,Critical Potential,Other,Human Error / Fatigue,Human Error,6358.734329,Pump / Mechanical Equipment,86.79735842,Moderate,Low,Clear,Unknown,Unknown,304,2.144167776,2020,3,3,6,1,0,2,3,1.505496282,1,4,Intermediate,3,4,2.9,29,2,Major Rainy Season,2,2,1,1,54.91621264,High Risk
IN-27-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/27/2020,Day,Yes,1,Equipment Damage,Critical Potential,Other,Human Error / Fatigue,System Failure,4194.435903,Heavy Equipment,93.40250577,Moderate,Low,Clear,Equipment Operation,Equipment Operator,326,49.92360341,2020,1,4,6,5,1,2,3,0.442598016,1,5,Intermediate,3,2,2.35,29,4,Major Rainy Season,4,3,1,1,72.3707906,Critical Risk
IN-30-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/30/2020,Night,Yes,1,Serious Injury,Critical Potential,Other,"Human Error / Fatigue, Lack of Risk Assessment (No JHA/JSA)",System Failure,4529.355688,,69.62395983,Moderate,Low,Clear,Unknown,Supervisor,429,3.281180208,2020,1,3,6,1,0,2,3,3.611990792,1,2,Basic,4,4,2.45,29,3,Major Rainy Season,2,2,1,1,54.91621264,High Risk
IN-30-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/30/2020,Night,Yes,1,Personal Injury,High Potential,Other,Lack of Risk Assessment (No JHA/JSA),Human Error,3858.239444,,65.37025479,Moderate,Low,Clear,Unknown,Unknown,324,43.65556113,2020,1,3,6,1,0,2,2,5.058476079,1,5,Intermediate,3,4,2.05,29,0,Major Rainy Season,2,2,1,1,42.93608302,Medium Risk
IN-01-07-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,7/1/2020,Unknown,Yes,1,Personal Injury,Low,Other,Human Error / Fatigue,System Failure,6000.975982,,76.85170935,Moderate,Low,Wet / Slippery Conditions,Unknown,Unknown,318,4.947563319,2020,1,3,7,2,0,3,0,1.18931271,,5,Intermediate,3,3,,29,1,Major Rainy Season,2,1,1,1,7.618238089,Low Risk
IN-04-07-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,7/4/2020,Day,Yes,1,Personal Injury,High Potential,Other,Poor Ground / Weather Conditions,Inadequate Training,4737.557551,,97.29963468,Moderate,Low,Rain,Unknown,Unknown,454,43.0728639,2020,1,3,7,5,1,3,2,10.00667328,4,5,Basic,4,2,2.2,29,3,Major Rainy Season,2,1,1,1,38.82554603,Medium Risk
IN-06-07-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,7/6/2020,Day,Yes,1,Personal Injury,Critical Potential,Other,Lack of Risk Assessment (No JHA/JSA),System Failure,4943.549158,Fire / Explosion Source,90.28498582,Moderate,Low,Clear,Cleaning / Housekeeping,Unknown,386,8.13925182,2020,1,2,7,0,0,3,3,2.142772781,1,3,Basic,4,2,,29,2,Major Rainy Season,2,1,1,1,35.94038888,Medium Risk
IN-09-07-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,7/9/2020,Day,Yes,1,Vehicle Incident,Critical Potential,Other,Human Error / Fatigue,Human Error,4663.49998,Heavy Equipment,82.96996519,Moderate,Low,Clear,Unknown,Unknown,307,38.05738645,2020,2,3,7,3,0,3,3,1.598415094,1,5,Basic,4,2,2.5,29,3,Major Rainy Season,4,1,1,1,57.79423947,High Risk
IN-15-07-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,7/15/2020,Day,Yes,1,Environmental,Critical Potential,Other,Lack of Risk Assessment (No JHA/JSA),System Failure,6450.611734,Crane / Lifting Equipment,77.51320243,Moderate,Low,Clear,Lifting,Security,325,14.84055621,2020,4,3,7,2,0,3,3,4.783666013,1,2,Basic,4,2,3,29,6,Major Rainy Season,2,3,1,1,50.51694,High Risk
IN-16-07-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,7/16/2020,Day,Yes,1,Personal Injury,High Potential,Other,Human Error / Fatigue,Supervisory Failure,3950.374198,Crane / Lifting Equipment,95.58953429,Moderate,Low,Wet / Slippery Conditions,Unknown,Security,398,10.23011912,2020,1,3,7,3,0,3,2,1.493808944,,2,Basic,4,2,,29,1,Major Rainy Season,2,1,1,1,27.28769852,Low Risk
IN-28-07-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,7/28/2020,Day,Yes,1,Personal Injury,Critical Potential,Other,Human Error / Fatigue,System Failure,5128.042154,Grinding Machine,87.29501378,Moderate,Low,Clear,Grinding / Cutting,Unknown,392,16.12470756,2020,1,4,7,1,0,3,3,2.713478814,1,2,Basic,4,2,,29,12,Major Rainy Season,3,1,1,1,56.1851659,High Risk
IN-31-07-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,7/31/2020,Day,Yes,1,Personal Injury,High Potential,Other,Human Error / Fatigue,Human Error,4176.95996,,80.77052822,Moderate,Low,Clear,Unknown,Unknown,409,5.237428849,2020,1,3,7,4,0,3,2,1.867909552,1,5,Basic,4,2,1.9,29,3,Major Rainy Season,2,1,1,1,30.1721604,Medium Risk
IN-03-08-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,8/3/2020,Day,Yes,1,Near Miss,Critical Potential,Other,Poor Ground / Weather Conditions,Design Flaw,5426.149497,,80.67390189,Moderate,Low,Wet / Slippery Conditions,Driving,Unknown,334,6.287058602,2020,1,2,8,0,0,3,3,4.62971349,,3,Intermediate,3,2,,29,3,Major Rainy Season,2,1,1,1,33.055927,Medium Risk
IN-04-08-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,8/4/2020,Night,Yes,1,Personal Injury,Low,Other,Human Error / Fatigue,System Failure,4553.542196,,85.91353906,Moderate,Low,Clear,Unknown,Unknown,435,6.642072959,2020,1,3,8,1,0,3,0,0.15938357,1,2,Intermediate,3,4,1.35,29,1,Major Rainy Season,2,2,1,1,18.97582377,Low Risk
IN-06-08-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,8/6/2020,Day,Yes,1,Personal Injury,High Potential,Other,Human Error / Fatigue,Human Error,4198.543109,,94.36602838,Moderate,Low,Clear,Unknown,Unknown,335,9.859228856,2020,1,3,8,3,0,3,2,9.563269198,1,3,Basic,4,2,1.9,29,2,Major Rainy Season,2,1,1,1,30.1721604,Medium Risk
IN-06-08-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,8/6/2020,Day,Yes,1,Personal Injury,High Potential,Other,Lack of Risk Assessment (No JHA/JSA),Human Error,5185.631349,,84.48523609,Moderate,Low,Clear,Unknown,Unknown,305,10.97445086,2020,1,3,8,3,0,3,2,0.807710583,1,5,Basic,4,2,1.9,29,0,Major Rainy Season,2,1,1,1,30.1721604,Medium Risk
IN-14-08-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,8/14/2020,Day,Yes,1,Near Miss,Critical Potential,Other,Human Error / Fatigue,Maintenance Issue,5421.704451,,90.18982937,Moderate,Low,Clear,Equipment Operation,Unknown,335,24.34040441,2020,1,4,8,4,0,3,3,2.275259635,1,2,Intermediate,3,2,2.35,29,8,Major Rainy Season,2,3,1,1,56.72884115,High Risk
IN-21-08-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,8/21/2020,Night,Yes,1,Personal Injury,Critical Potential,Other,Human Error / Fatigue,Human Error,3679.541708,Vehicle,100,Moderate,Low,Clear,Equipment Operation,Equipment Operator,415,13.97077807,2020,1,4,8,4,0,3,3,7.292268559,1,2,Intermediate,3,4,2.55,29,7,Major Rainy Season,3,4,1,1,77.31373849,Critical Risk
IN-28-08-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,8/28/2020,Unknown,Yes,1,Near Miss,Critical Potential,Other,Human Error / Fatigue,Supervisory Failure,3494.942416,,88.45089876,Moderate,Low,Clear,Unknown,Unknown,436,9.188566981,2020,1,3,8,4,0,3,3,1.164112826,1,2,Intermediate,3,3,2.3,29,7,Major Rainy Season,2,1,1,1,46.44308884,Medium Risk
IN-29-08-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,8/29/2020,Unknown,Yes,1,Personal Injury,High Potential,Other,Human Error / Fatigue,Human Error,5341.902219,,78.37093498,Moderate,Low,Clear,Grinding / Cutting,Unknown,446,36.28265979,2020,1,4,8,5,1,3,2,0.490180718,1,3,Basic,4,3,,29,1,Major Rainy Season,2,1,1,1,40.67486037,Medium Risk
IN-19-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/19/2020,Day,Yes,1,Equipment Damage,Critical Potential,Process Plant,"Poor Ground / Weather Conditions, Unidentified Hidden Hazard",System Failure,3811.515909,Heavy Equipment,89.0823735,Moderate,Low,Rain,Unknown,Unknown,366,1.2072851,2020,1,3,6,4,0,2,3,1.390399734,4,4,Basic,4,2,2.55,171,999,Major Rainy Season,4,1,1,1,66.44762511,High Risk
IN-19-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/19/2020,Unknown,Yes,1,Equipment Damage,Low,Process Plant,Poor Ground / Weather Conditions,System Failure,3756.519646,,81.39297496,Moderate,Low,Wet / Slippery Conditions,Unknown,Unknown,431,9.010734164,2020,1,3,6,4,0,2,0,1.293736989,,3,Basic,4,3,,171,0,Major Rainy Season,2,1,1,1,7.618238089,Low Risk
IN-28-07-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,7/28/2020,Night,Yes,1,Environmental,Low,Process Plant,Poor Ground / Weather Conditions,Human Error,5172.231298,Vehicle,94.56604044,Moderate,Low,Rain,Unknown,Unknown,476,23.01097849,2020,4,3,7,1,0,3,0,0.381558273,4,4,Basic,4,4,2.45,171,39,Major Rainy Season,3,2,1,1,35.45018412,Medium Risk
